t,euler1,euler2,heun1,heun2
0.0,1,1,1,1
0.5,-9.9,-30.999999999999996,-2.105000000000002,-0.23999999999999844
1.0,155.01999999999998,392.62,12.200650000000005,-16.898300000000003
1.5,-2085.96,-5417.434,40.249955499999984,-44.62278599999999
2.0,28591.010800000004,74063.70460000004,74.50833158499998,-75.92356636999995
2.5,-391125.28956000024,-1013433.8813800004,105.59456720994979,-102.19389440039973
3.0,5351570.212564002,13866011.963350005,124.84727455652592,-116.07450161504238
3.5,-73221649.74124923,-189718917.82029232,126.7353923325569,-113.51246159440697
4.0,1001840071.2207257,2595789442.5851364,110.44263916211753,-94.93932248193136
4.5,-13707467861.175604,-35516348190.855965,80.17322167910723,-65.22739892320791
5.0,187549572409.98676,485945032117.69495,44.07253595768899,-32.415677094505554
5.5,-2566107937645.1816,-6648841627594.352,12.038313440894548,-5.537336179429424
6.0,35110237061299.89,90971389902095.6,-6.99044642821746,7.864737085195522
6.5,-480388501360444.06,-1244697083231496.8,-7.524887723144035,3.8517596891019696
7.0,6572815553381527.0,1.703030843732416e+16,10.895530334583759,-16.759389282897935
7.5,-8.993117898622974e+16,-2.3301364595264813e+17,43.49053110784089,-48.54199178009017
8.0,1.2304646141625654e+18,3.188160648996268e+18,81.47410933040483,-82.88424273557786
8.5,-1.683557564543951e+19,-4.36213436438562e+19,114.41967915134089,-110.32003091873173
9.0,2.3034925511142667e+20,5.968399433994836e+20,133.11946994524453,-123.13566736078408
9.5,-3.151705676589826e+21,-8.16613813974687e+21,132.1547559757265,-117.53542176650558
10.0,4.312255608138836e+22,1.117314832140743e+23,111.46033641044477,-94.75877373453827
10.5,-5.9001538652699935e+23,-1.5287427334169411e+24,76.43306400245751,-60.82229590373695
11.0,8.072762562626751e+24,2.0916703848792316e+25,36.529765268494614,-24.93439786185018
11.5,-1.1045389134028264e+26,-2.8618844121678615e+26,2.717258783081462,3.0005404248909002
12.0,1.5112623488632933e+27,3.915713703180953e+27,-15.53883801897047,15.112929525025624
12.5,-2.0677532130177224e+28,-5.357593668035171e+28,-12.920508609524122,7.781447815472997
13.0,2.829160240219734e+29,7.330415880112187e+29,10.200009400919102,-17.29241883507554
13.5,-3.870939536908644e+30,-1.0029688756726403e+31,47.767131562624286,-53.46556305658588
14.0,5.296332348159509e+31,1.3722912615329607e+32,89.62266935917151,-90.90921900507095
14.5,-7.246596355923096e+32,-1.8776089190372626e+33,124.24929859892532,-119.27670999658082
15.0,9.915004439614969e+33,2.5689992727273534e+34,141.93673709078823,-130.55969058779374
15.5,-1.3565998188547076e+35,-3.514979715082347e+35,137.50106079272405,-121.34517522723775
16.0,1.8561394296139042e+36,4.809297740409138e+36,111.7966278317169,-93.83825553666586
