t,euler1,euler2,heun1,heun2
0.0,1,1,1,1
0.5,4.65,-13.635000000000002,1.68625,-6.013750000000002
1.0,-24.090000000000003,71.90625,-16.406560937500004,13.83518906250001
1.5,127.972125,-381.9051,47.93881161914065,4.499706775390603
2.0,-679.6226812499999,2028.1915406249996,-27.76094101659926,-153.03351566738039
2.5,3609.2900868749994,-10771.169983031248,-359.9933234161932,557.0148383574434
3.0,-19167.95127079687,57202.73418276561,1685.4816628235358,-690.4243150285289
3.5,101795.74022470077,-303788.05677904707,-3097.621490693974,-2738.088111268172
4.0,-540609.300464511,1613335.179863939,-4324.530790118205,17508.82417947379
4.5,2871027.9536611494,-8567981.342596924,47291.14737914318,-41976.96199749374
5.0,-15247243.25612084,45502202.64413997,-143425.57617351215,-6438.561979819089
5.5,80973933.60969011,-241649737.86472228,100616.15766164783,435982.2432678468
6.0,-430030387.400972,1283335584.142527,1008079.2098724511,-1649326.567194037
6.5,2283773627.4442277,-6815443857.209639,-4943640.8750188,2212160.889970324
7.0,-12128496344.019009,36194955976.236565,9553289.986972356,7448442.566409422
7.5,64411122800.95055,-192221499519.19208,10847116.689124797,-50897129.00337717
8.0,-342069834775.9365,1020835745778.0947,-136069663.71421823,127024297.03580377
8.5,1816639219676.9734,-5421379098929.937,428287431.4369545,-919880.1240011156
9.0,-9647673425019.35,28791459797395.6,-350818597.64182425,-1239169274.4310594
9.5,51236151629697.4,-152903558695731.78,-2812444552.246614,4875837261.421001
10.0,-272101170735480.03,812028928937251.9,14478219907.94319,-7026049071.234463
10.5,1445054805261847.8,-4312463274599946.0,-29346774128.174934,-20109477437.478935
11.0,-7674290355186892.0,2.2902311521231984e+16,-26392756146.895004,147721530342.65732
11.5,4.075605453942814e+16,-1.2162790489252642e+17,390780931171.1791,-383428922278.45374
12.0,-2.1644424497154554e+17,6.459324961513609e+17,-1276570288436.6812,60637106348.11597
12.5,1.1494761136895793e+18,-3.4303706041224837e+18,1190401838085.6382,3513245046574.9297
13.0,-6.104552865873615e+18,1.8217758901651853e+19,7814423120695.137,-14391532094221.04
13.5,3.241960859250136e+19,-9.674952875350172e+19,-42337817050018.266,22149806008364.86
14.0,-1.7217166340987637e+20,5.138102532016667e+20,89826913645364.5,53810710986506.89
